Name,Age,Grade,Math,Science,English,History,Average,Performance
Sophia Lee,17,10th,83,78,66,72,74.75,Good
Harper Hernandez,15,11th,88,67,68,51,68.5,Average
Oliver Perez,17,11th,88,73,48,89,74.5,Good
Sophia Martin,17,9th,86,33,91,69,69.75,Average
Elizabeth Hernandez,15,10th,71,53,92,85,75.25,Good
Charlotte Perez,18,11th,65,95,58,89,76.75,Good
Noah Davis,15,11th,52,69,81,48,62.5,Average
Lucas Williams,18,12th,91,39,91,95,79.0,Good
Benjamin Perez,18,11th,72,50,75,86,70.75,Good
Liam Lopez,18,9th,68,52,85,55,65.0,Average
James Johnson,15,9th,92,71,74,74,77.75,Good
Emily Smith,18,11th,61,62,52,73,62.0,Average
Mason Thompson,16,9th,87,58,88,68,75.25,Good
Mason Moore,15,11th,79,70,93,85,81.75,Good
Ethan Taylor,16,12th,59,78,83,96,79.0,Good
Harper Thomas,18,11th,73,65,56,68,65.5,Average
Abigail Lopez,17,10th,89,59,59,94,75.25,Good
Elizabeth Lee,18,11th,86,62,53,87,72.0,Good
Sofia Williams,16,10th,97,76,84,72,82.25,Good
Ava Martin,16,11th,80,69,92,71,78.0,Good
Sophia Perez,15,12th,100,83,78,44,76.25,Good
Mia Miller,17,10th,61,49,87,37,58.5,Needs Improvement
Alexander Brown,15,12th,69,56,58,71,63.5,Average
Sofia Anderson,16,12th,74,83,74,50,70.25,Good
Alexander Rodriguez,18,9th,53,55,50,67,56.25,Needs Improvement
Emily Johnson,17,9th,90,94,59,57,75.0,Good
William Thomas,18,9th,88,95,86,32,75.25,Good
Sophia Lopez,18,9th,75,95,68,75,78.25,Good
Oliver Thomas,17,9th,66,54,91,59,67.5,Average
Olivia Anderson,15,11th,52,71,80,69,68.0,Average
Evelyn Brown,18,9th,63,61,100,50,68.5,Average
Alexander Davis,16,10th,86,86,73,61,76.5,Good
Noah Johnson,18,12th,71,100,49,99,79.75,Good
James Thompson,17,9th,68,85,71,70,73.5,Good
Ethan Brown,17,12th,82,70,56,78,71.5,Good
Benjamin Jackson,17,10th,92,63,87,42,71.0,Good
Mason Johnson,15,9th,78,81,72,100,82.75,Good
Ethan Brown,18,11th,79,47,69,100,73.75,Good
Logan Taylor,15,11th,95,79,70,95,84.75,Good
Harper Davis,15,12th,77,53,83,84,74.25,Good
Logan White,17,11th,70,81,64,68,70.75,Good
Sofia Davis,17,12th,85,67,84,76,78.0,Good
Emily Taylor,15,10th,71,63,88,88,77.5,Good
Amelia Jackson,18,9th,69,54,66,55,61.0,Average
Harper Perez,16,12th,94,63,57,59,68.25,Average
Lucas Wilson,15,12th,70,80,63,34,61.75,Average
Mia Thomas,18,12th,35,88,83,52,64.5,Average
Amelia Smith,17,10th,80,79,73,100,83.0,Good
Sofia Miller,17,10th,69,94,82,61,76.5,Good
Mia Smith,18,12th,70,100,100,61,82.75,Good
