Student_ID,Name,Gender,Age,Attendance,Study_Hours,Previous_GPA,Math_Score,Science_Score,English_Score,Total_Score,Average_Score,Average_Score_Rounded,Grade,Performance,Attendance_Category,Math_Zscore,Score_Percentile
S001,Alice,M,24,87.0,6.6,2.64,65,88,56,209,69.66666666666667,69.67,C,Fail,High,-0.6591662264206293,32.0
S002,Bob,F,19,66.0,2.3,2.37,92,85,85,262,87.33333333333333,87.33,A,Pass,Low,1.17185106919223,96.0
S003,Charlie,F,19,68.0,7.2,2.08,64,92,94,250,83.33333333333333,83.33,B,Pass,Low,-0.726981681813698,85.0
S004,David,F,21,67.0,4.8,3.18,52,70,69,191,63.666666666666664,63.67,C,Fail,Low,-1.5407671465305244,14.000000000000002
S005,Eva,M,19,71.0,6.7,3.36,51,74,50,175,58.333333333333336,58.33,D,Fail,Medium,-1.6085826019235934,7.000000000000001
S006,Frank,M,19,93.0,7.3,2.03,47,72,57,176,58.666666666666664,58.67,D,Fail,High,-1.8798444234958687,10.0
S007,Grace,M,23,92.0,3.2,3.02,61,91,95,247,82.33333333333333,82.33,B,Pass,High,-0.9304280479929047,81.0
S008,Henry,F,21,82.0,4.499999999999999,2.45,77,60,65,202,67.33333333333333,67.33,C,Fail,Medium,0.1546192382961971,26.0
S009,Ivy,F,23,83.0,2.6,3.29,92,71,63,226,75.33333333333333,75.33,B,Pass,Medium,1.17185106919223,56.00000000000001
S010,Jack,F,24,96.0,4.0,2.35,56,62,61,179,59.666666666666664,59.67,D,Fail,High,-1.2695053249582489,12.0
S011,Karen,M,24,94.0,6.7,3.38,95,72,72,239,79.66666666666667,79.67,B,Pass,High,1.3752974353714364,72.0
S012,Leo,F,23,99.0,7.0,2.77,66,42,64,172,57.333333333333336,57.33,D,Fail,High,-0.5913507710275604,4.0
S013,Mia,F,24,85.0,1.0,3.87,99,57,77,233,77.66666666666667,77.67,B,Pass,Medium,1.646559256943712,63.0
S014,Noah,M,21,86.0,4.6,2.28,66,64,83,213,71.0,71.0,B,Pass,High,-0.5913507710275604,39.0
S015,Olivia,M,18,94.0,3.9,2.68,90,81,51,222,74.0,74.0,B,Pass,High,1.0362201584060922,51.0
S016,Peter,M,23,60.0,2.6,2.23,74,70,81,225,75.0,75.0,B,Pass,Low,-0.048827127883009504,54.0
S017,Quinn,M,22,94.0,1.8,3.85,82,93,72,247,82.33333333333333,82.33,B,Pass,High,0.49369651526154135,81.0
S018,Rachel,F,22,96.0,3.4,3.75,82,97,71,250,83.33333333333333,83.33,B,Pass,High,0.49369651526154135,85.0
S019,Sam,M,19,73.0,7.6,2.52,89,42,74,205,68.33333333333333,68.33,C,Fail,Medium,0.9684047030130234,30.0
S020,Tina,M,24,62.0,3.3,3.32,95,79,71,245,81.66666666666667,81.67,B,Pass,Low,1.3752974353714364,75.0
S021,Ulysses,F,22,60.0,4.6,3.63,98,85,71,254,84.66666666666667,84.67,B,Pass,Low,1.5787438015506432,92.0
S022,Vera,M,19,64.0,5.9,3.11,52,63,98,213,71.0,71.0,B,Pass,Low,-1.5407671465305244,39.0
S023,Will,M,18,85.0,3.5,3.06,71,89,91,251,83.66666666666667,83.67,B,Pass,Medium,-0.25227349406221605,88.0
S024,Xena,M,21,73.0,7.8,2.48,71,71,55,197,65.66666666666667,65.67,C,Fail,Medium,-0.25227349406221605,21.0
S025,Yara,M,21,98.0,7.7,2.19,78,86,64,228,76.0,76.0,B,Pass,High,0.22243469368926594,57.99999999999999
S026,Zane,F,21,86.0,2.8,2.9324489795918365,65,61,92,218,72.66666666666667,72.67,B,Pass,High,-0.6591662264206293,44.0
S027,Amy,M,22,68.0,4.5,3.8,74,62,86,222,74.0,74.0,B,Pass,Low,-0.048827127883009504,51.0
S028,Brian,F,18,74.0,3.1,3.27,77,41,82,200,66.66666666666667,66.67,C,Fail,Medium,0.1546192382961971,24.0
S029,Cathy,F,22,74.0,3.0,2.68,72,66,57,195,65.0,65.0,C,Fail,Medium,-0.18445803866914723,17.0
S030,Dylan,M,24,85.0,1.3,2.7,91,81,93,265,88.33333333333333,88.33,A,Pass,Medium,1.1040356137991612,98.0
S031,Elena,F,22,72.0,5.3,3.45,77,41,93,211,70.33333333333333,70.33,B,Pass,Medium,0.1546192382961971,34.0
S032,Felix,M,18,91.0,4.5,3.79,49,65,54,168,56.0,56.0,D,Fail,High,-1.744213512709731,2.0
S033,Gina,M,18,98.0,1.4,3.77,92,56,88,236,78.66666666666667,78.67,B,Pass,High,1.17185106919223,69.0
